Committee,Amount
KUMAR FOR CONGRESS,345.35
MIKE THOMPSON FOR CONGRESS,1086.8
MOORE FOR CONGRESS,77.94
SUNDHEIM FOR SENATE,110.27000000000001
MORGAN GRIFFITH FOR CONGRESS,461.25
STEVE FINCHER FOR CONGRESS,2056.45
KEN CALVERT FOR CONGRESS COMMITTEE,818.61
ROYCE CAMPAIGN COMMITTEE,225.32999999999998
DUNCAN FOR CONGRESS,250.19
PETE KING FOR CONGRESS COMMITTEE,50.18
JOHN CARTER FOR CONGRESS,61.95
THE NIKI TSONGAS COMMITTEE,234.92
BADGERPAC,387.85
COMMITTEE TO ELECT TIM SHERIDAN TO CONGRESS,400.0
GURFEIN FOR AMERICA,37.3
FRIENDS OF NEAL DUNN,566.16
TERRI SEWELL FOR CONGRESS,417.05999999999995
BEN SASSE FOR US SENATE INC,277.5
FRIENDS OF JIM BRIDENSTINE INC.,80.08
FRENCH HILL FOR ARKANSAS,114.63
FRIENDS OF BERNIE SANDERS,555.57
PEOPLE FOR DEREK KILMER,654.0
ELECT BLAKE FARENTHOLD COMMITTEE,344.2
LISA MURKOWSKI FOR US SENATE,2360.42
HOYER FOR CONGRESS,3707.13
RODNEY FOR CONGRESS,698.65
PORTMAN FOR SENATE COMMITTEE,133.2
SIMPSON FOR CONGRESS,124.85
DAVID TRONE FOR CONGRESS,3170.21
PATRIOTS FOR PERRY,135.76
PERRY FOR PRESIDENT INC,274.80999999999995
CICILLINE COMMITTEE,230.49
SEAN FLYNN FOR CONGRESS,200.05
TIBERI FOR CONGRESS,1136.0
SCHATZ FOR SENATE,322.02
CAGE FOR CONGRESS,19.060000000000002
"JIM BANKS FOR CONGRESS, INC.",173.8
PAUL BROUN COMMITTEE,128.89999999999998
FLEMING FOR CONGRESS,474.24
"KUSTER FOR CONGRESS, INC",520.39
KRAUSE FOR IOWA INC,8.52
CHRIS CHRISTIE FOR PRESIDENT INC,2106.36
LANGEVIN FOR CONGRESS,1050.99
DEL ROSSO FOR CONGRESS,21.0
JULIA BROWNLEY FOR CONGRESS,371.38
FORBES FOR CONGRESS,799.1199999999998
SCHIFF FOR CONGRESS,55.49
FRIENDS OF SHAUGHNESSY NAUGHTON,611.2
NOLAN FOR CONGRESS VOLUNTEER COMMITTEE,492.6
AL GREEN FOR CONGRESS,95.4
"DONALD J. TRUMP FOR PRESIDENT, INC.",9473.37
MICA FOR CONGRESS,1232.55
BARRAGAN FOR CONGRESS,1196.34
DR. RAUL RUIZ FOR CONGRESS,70.39
BENNET FOR COLORADO,266.4
COMM. TO ELECT MADELEINE Z. BORDALLO,210.0
"CARDWELL FOR CONGRESS, INC.",280.07
MCHENRY FOR CONGRESS,199.56
WALTERS FOR CONGRESS,313.65
BILLY LONG FOR CONGRESS,1090.88
ROS-LEHTINEN FOR CONGRESS,819.5600000000001
FRIENDS FOR HARRY REID,501.6
PERLMUTTER FOR CONGRESS,19.04
HAL ROGERS FOR CONGRESS,161.92
ZELDIN FOR CONGRESS,198.37
COLLINS FOR CONGRESS,32.61
LOU CORREA FOR CONGRESS,1527.6200000000001
O'MALLEY FOR PRESIDENT,598.1800000000001
ALEXANDER FOR SENATE 2020 INC,548.47
BILIRAKIS FOR CONGRESS,569.74
CORY BOOKER FOR SENATE,799.7599999999999
FRIENDS OF PAUL MITCHELL,182.22
MARCO RUBIO FOR PRESIDENT,22.0
CAPITO FOR WEST VIRGINIA,116.44999999999999
KAPTUR FOR CONGRESS,204.37
"HUCKABEE FOR PRESIDENT, INC.",1282.8100000000004
KAMALA HARRIS FOR SENATE,426.39
STEVE DAINES FOR MONTANA,249.0
JODY HICE FOR CONGRESS,199.8
FRIENDS OF JEB HENSARLING,495.84000000000003
LOFGREN FOR CONGRESS,272.49
FRIENDS OF SHERROD BROWN,123.1
FORLINI FOR US,255.28
COMMITTEE TO ELECT TOM PALZER US SENATE 2016,28.81
UDALL FOR US ALL,221.18
KENNY MARCHANT FOR CONGRESS,81.99
RICHARD E NEAL FOR CONGRESS COMMITTEE,812.6
LEAHY FOR U.S. SENATOR COMMITTEE,332.29999999999995
BOB GOODLATTE FOR CONGRESS COMMITTEE,332.75
BECERRA FOR CONGRESS,471.95000000000005
PALACIOS FOR CONGRESS,330.39
MCCLINTOCK FOR CONGRESS,111.07
TODOS CON JENNIFFER INC.  DBA JENNIFFER FOR CONGRESS,706.49
NELSON FOR WISCONSIN,225.01
KEVIN MCCARTHY FOR CONGRESS,2902.0399999999995
MORAN FOR KANSAS,180.16000000000003
DAVE GILES FOR CONGRESS,319.87
ROB WITTMAN FOR CONGRESS,137.73
VOLUNTEERS FOR SHIMKUS,747.8499999999999
